source,translated,context
"Machine learning models that rank leads by conversion probability",نماذج تعلم آلي تصنف العملاء حسب احتمالية التحويل,
"Multi-touch attribution connecting marketing spend to revenue",إسناد متعدد اللمس يربط الإنفاق التسويقي بالإيرادات,
Leaderboards,لوحات المتصدرين,
"Real-time agent performance rankings and challenges",تصنيفات أداء الوكلاء في الوقت الفعلي والتحديات,
"Leads, Opportunities, Customers",العملاء المحتملون والفرص والعملاء,
"Click-to-call, Auto Dialer",الاتصال بنقرة والاتصال التلقائي,
Access control,التحكم بالوصول,
"Visual graphs & dashboards",الرسوم البيانية ولوحات التحكم البصرية,
"Broadcast, Chatbot, Sequences",البث والروبوت والسلاسل,
Core framework,الإطار الأساسي,
"AuraCRM integrates with: ERPNext, Arrowz VoIP, CAPS, frappe_visual, WhatsApp, and Frappe Core.",يتكامل أوراCRM مع: ERPNext وArrowz VoIP وCAPS وfrappe_visual وواتساب وFrappe Core.,
"Lead Capture → Enrichment → AI Scoring → Distribution → Nurture → Pipeline → Deal Room → Close → Analytics",التقاط العميل → الإثراء → تسجيل النقاط بالذكاء الاصطناعي → التوزيع → الرعاية → خط الأنابيب → غرفة الصفقات → الإغلاق → التحليلات,
Welcome to AuraCRM,مرحباً بك في أوراCRM,
"This walkthrough will guide you through AuraCRM's key features. AuraCRM is an AI-powered visual CRM platform that combines lead management, sales pipeline, marketing automation, and unified communications.",سيرشدك هذا الدليل عبر الميزات الرئيسية لأوراCRM. أوراCRM هي منصة CRM بصرية مدعومة بالذكاء الاصطناعي تجمع بين إدارة العملاء وخط أنابيب المبيعات وأتمتة التسويق والاتصالات الموحدة.,
"You're Ready to Use AuraCRM!",أنت جاهز لاستخدام أوراCRM!,
"Start by exploring the dashboard or configure your settings. You can always access help by clicking the ❓ icon on any AuraCRM page.",ابدأ باستكشاف لوحة التحكم أو اضبط إعداداتك. يمكنك دائماً الوصول للمساعدة بالنقر على أيقونة ❓ في أي صفحة أوراCRM.,
Settings,الإعدادات,
View List,عرض القائمة,
About,عن,
"frappe_visual is not loaded.",لم يتم تحميل frappe_visual.,
"frappe_visual is not loaded. Please ensure frappe_visual app is installed.",لم يتم تحميل frappe_visual. يرجى التأكد من تثبيت تطبيق frappe_visual.,
"This is part of AuraCRM — the AI-powered visual CRM platform. For a full overview, visit the About page or start the Onboarding walkthrough.",هذا جزء من أوراCRM — منصة CRM البصرية المدعومة بالذكاء الاصطناعي. للحصول على نظرة عامة كاملة قم بزيارة صفحة عن أو ابدأ الإرشاد التعريفي.,
"Global configuration for AuraCRM: scoring weights, distribution mode, AI settings, gamification toggles, and integration credentials.",التكوين العام لأوراCRM: أوزان التسجيل ووضع التوزيع وإعدادات الذكاء الاصطناعي ومفاتيح التلعيب وبيانات اعتماد التكامل.,
"Define scoring criteria that automatically rate leads based on demographics, behavior, and engagement. Higher scores mean higher conversion probability.",حدد معايير التسجيل التي تقيّم العملاء المحتملين تلقائياً بناءً على الديموغرافيا والسلوك والتفاعل. النقاط الأعلى تعني احتمالية تحويل أعلى.,
"Configure how leads are automatically assigned to sales agents. Use round-robin, territory-based, skill-based, or workload-balanced distribution.",اضبط كيفية تعيين العملاء المحتملين تلقائياً لوكلاء المبيعات. استخدم التوزيع الدوري أو حسب المنطقة أو المهارة أو توازن حجم العمل.,
"AI-generated profiles that analyze lead data to predict conversion probability, suggest ideal approach, and recommend next actions.",ملفات مولدة بالذكاء الاصطناعي تحلل بيانات العميل للتنبؤ باحتمالية التحويل واقتراح النهج المثالي والتوصية بالإجراءات التالية.,
"Create automated calling campaigns. Agents get calls queued with context rules that show relevant information for each contact.",أنشئ حملات اتصال تلقائية. يحصل الوكلاء على مكالمات في قائمة الانتظار مع قواعد سياق تعرض المعلومات ذات الصلة لكل جهة اتصال.,
"Multi-step automated campaigns with email, WhatsApp, SMS, and wait steps. Enroll leads and track progression through each step.",حملات تلقائية متعددة الخطوات مع البريد الإلكتروني وواتساب والرسائل القصيرة وخطوات الانتظار. سجل العملاء وتتبع التقدم عبر كل خطوة.,
"Long-term nurture programs with branching logic. Move leads through awareness, consideration, and decision stages automatically.",برامج رعاية طويلة الأمد مع منطق التفرع. انقل العملاء عبر مراحل الوعي والتفكير والقرار تلقائياً.,
"Collaborative spaces for each deal with shared documents, notes, activity timeline, and stakeholder management. Share externally with customers.",مساحات تعاونية لكل صفقة مع مستندات مشتركة وملاحظات وجدول زمني للنشاط وإدارة أصحاب المصلحة. شارك خارجياً مع العملاء.,
"Track every touchpoint from first contact to closed deal. Visualize the full journey with timeline and attribution data.",تتبع كل نقطة تواصل من أول اتصال إلى الصفقة المغلقة. تصور الرحلة الكاملة مع البيانات الزمنية وبيانات الإسناد.,
"Define response time expectations for leads and opportunities. Automatic monitoring, escalation workflows, and breach logging.",حدد توقعات وقت الاستجابة للعملاء المحتملين والفرص. مراقبة تلقائية وسير عمل التصعيد وتسجيل الانتهاكات.,
"Configure the gamification engine: point values, badge thresholds, challenge types, and leaderboard settings to boost team performance.",اضبط محرك التلعيب: قيم النقاط وعتبات الشارات وأنواع التحديات وإعدادات لوحة المتصدرين لتعزيز أداء الفريق.,
"Send bulk WhatsApp messages with templates and personalization. Track delivery, read status, and responses.",أرسل رسائل واتساب جماعية مع القوالب والتخصيص. تتبع التسليم وحالة القراءة والردود.,
"Build conversational chatbots for WhatsApp with a visual node editor. Qualify leads, answer FAQs, and route to agents.",أنشئ روبوتات محادثة لواتساب بمحرر عقد بصري. أهّل العملاء وأجب على الأسئلة الشائعة ووجّه إلى الوكلاء.,
"Track competitor information, pricing, strengths/weaknesses. Log competitive intelligence entries for market positioning.",تتبع معلومات المنافسين والأسعار ونقاط القوة/الضعف. سجل إدخالات الاستخبارات التنافسية للموقع في السوق.,
"Plan and schedule content across channels. Visual calendar view with drag-and-drop scheduling and AI content suggestions.",خطط وجدول المحتوى عبر القنوات. عرض تقويم بصري مع جدولة بالسحب والإفلات واقتراحات محتوى ذكاء اصطناعي.,
"Choose how conversion credit is distributed: first-touch, last-touch, linear, time-decay, or custom weighted models.",اختر كيفية توزيع رصيد التحويل: اللمسة الأولى أو الأخيرة أو الخطي أو التناقص الزمني أو النماذج الموزونة المخصصة.,
"Create dynamic segments based on lead behavior, demographics, engagement, and custom criteria for targeted campaigns.",أنشئ شرائح ديناميكية بناءً على سلوك العميل والديموغرافيا والتفاعل ومعايير مخصصة للحملات المستهدفة.,
"Manage influencer partnerships with profile tracking, campaign assignment, and ROI measurement.",أدر شراكات المؤثرين مع تتبع الملفات وتعيين الحملات وقياس عائد الاستثمار.,
"First-touch, last-touch, linear, and custom attribution models",نماذج إسناد اللمسة الأولى والأخيرة والخطية والمخصصة,
"Manage influencer partnerships, track performance, and ROI",إدارة شراكات المؤثرين وتتبع الأداء وعائد الاستثمار,
Lead Scoring & Distribution,تسجيل النقاط والتوزيع,
Visual Sales Pipeline,خط أنابيب المبيعات البصري,
Marketing Automation,أتمتة التسويق,
AI Lead Profiling,تحليل العملاء بالذكاء الاصطناعي,
Gamification Engine,محرك التلعيب,
Auto Dialer,الاتصال التلقائي,
Content Calendar,تقويم المحتوى,
Chatbot Builder,باني الروبوت,
$14-52/user/mo,$14-52/مستخدم/شهر,
$25-300/user/mo,$25-300/مستخدم/شهر,
$9-69/user/mo,$9-69/مستخدم/شهر,
0 = no cap. Used when multipliers can inflate points.,0 = بدون حد. يُستخدم عندما يمكن للمضاعفات تضخيم النقاط.,
"0 = not started, 1 = first step done, etc.",0 = لم يبدأ، 1 = الخطوة الأولى تمت، إلخ.,
0-100,0-100,
0-100 (higher = more fake),0-100 (أعلى = أكثر زيفاً),
0-100 (higher = safer),0-100 (أعلى = أكثر أماناً),
0-23,0-23,
1-10,1-10,
1-100,1-100,
11-50,11-50,
201-500,201-500,
25 fine-grained capabilities covering every AuraCRM module and action,25 صلاحية دقيقة تغطي كل وحدة وإجراء في AuraCRM,
360° Customer Timeline,الجدول الزمني للعميل 360°,
360° Customer View,عرض العميل 360°,
360° View,عرض 360°,
360° view is not available for {0},عرض 360° غير متاح لـ {0},
500+,500+,
51-200,51-200,
AI Analysis,تحليل الذكاء الاصطناعي,
AI Calculated,محسوب بالذكاء الاصطناعي,
AI Content Generation,إنشاء المحتوى بالذكاء الاصطناعي,
AI Content Model,نموذج محتوى الذكاء الاصطناعي,
AI Fast Model,النموذج السريع للذكاء الاصطناعي,
AI Generated,مولّد بالذكاء الاصطناعي,
AI Metadata,بيانات الذكاء الاصطناعي الوصفية,
AI Profile,ملف الذكاء الاصطناعي,
AI Profiler,ملف الذكاء الاصطناعي,
AI Profiling,تحليل الذكاء الاصطناعي,
AI Provider,مزود الذكاء الاصطناعي,
AI Provider Configuration,تكوين مزود الذكاء الاصطناعي,
AI Response,استجابة الذكاء الاصطناعي,
AI Response Persona,شخصية استجابة الذكاء الاصطناعي,
"AI analyzes customer messages to detect frustration, urgency, and satisfaction",يحلل الذكاء الاصطناعي رسائل العملاء لكشف الإحباط والإلحاح والرضا,
"AI identifies customers at risk of churning before they leave, enabling proactive retention",يحدد الذكاء الاصطناعي العملاء المعرضين لخطر التسرب قبل مغادرتهم مما يتيح الاحتفاظ الاستباقي,
AI suggests relevant articles from your knowledge base as you type responses,يقترح الذكاء الاصطناعي مقالات ذات صلة من قاعدة المعرفة أثناء كتابة ردودك,
AI-Powered Visual CRM Platform,منصة CRM بصرية مدعومة بالذكاء الاصطناعي,
"AI-generated alerts for at-risk deals, declining satisfaction, and missed SLAs",تنبيهات بالذكاء الاصطناعي للصفقات المعرضة للخطر وانخفاض الرضا واتفاقيات الخدمة المفقودة,
"AI-generated summaries highlighting opportunities, risks, and recommended actions",ملخصات بالذكاء الاصطناعي تبرز الفرص والمخاطر والإجراءات الموصى بها,
AI-suggested answers from your knowledge base for faster resolution times,إجابات مقترحة بالذكاء الاصطناعي من قاعدة المعرفة لأوقات حل أسرع,
AI-weighted forecasts based on your team's historical win rates per stage,توقعات مرجحة بالذكاء الاصطناعي بناءً على معدلات فوز فريقك التاريخية لكل مرحلة,
AI-weighted pipeline forecasting based on historical win rates and deal velocity,توقعات المسار المرجحة بالذكاء الاصطناعي بناءً على معدلات الفوز التاريخية وسرعة الصفقات,
API Configuration,تكوين API,
AUTOMATION,الأتمتة,
AVG CONVERSION,متوسط التحويل,
Accepted,مقبول,
Access Password,كلمة مرور الوصول,
Access control & field masking,التحكم بالوصول وإخفاء الحقول,
Action,الإجراء,
Action Field,حقل الإجراء,
Action Gates,بوابات الإجراءات,
Action Taken,الإجراء المتخذ,
Action Type,نوع الإجراء,
Action Value,قيمة الإجراء,
Active,نشط,
Active Agents,الوكلاء النشطون,
Active Breaches,الانتهاكات النشطة,
Active Campaigns,الحملات النشطة,
Active Challenges,التحديات النشطة,
Active Industry Preset,قالب الصناعة النشط,
Active Leads,العملاء المحتملين النشطين,
Active Lists,القوائم النشطة,
Active Members,الأعضاء النشطون,
Active Partner,شريك نشط,
Active Rules,القواعد النشطة,
Active SLA Breaches,انتهاكات اتفاقية الخدمة النشطة,
Activities,الأنشطة,
Activity,النشاط,
Activity Feed,تغذية الأنشطة,
Activity Overview,نظرة عامة على النشاط,
Activity Reports,تقارير النشاط,
Activity Streaks,سلاسل الأنشطة,
Activity Tracking,تتبع النشاط,
Ad Click,نقرة إعلان,
Ad Copy,نسخة الإعلان,
Ad Inventory,مخزون الإعلانات,
Ad Library Search Url,رابط بحث مكتبة الإعلانات,
Ad Stopped,إعلان متوقف,
Adapted Content,محتوى مُعدّل,
Adapted Hashtags,هاشتاغات مُعدّلة,
Add To Segment,إضافة إلى الشريحة,
Add at least one step before activating,أضف خطوة واحدة على الأقل قبل التفعيل,
Add-on,إضافة,
Added On,أُضيف في,
Additional Script Notes,ملاحظات سكربت إضافية,
"Additional multiplier per consecutive day (e.g., 0.1 = +10%/day)",مضاعف إضافي لكل يوم متتالي (مثال: 0.1 = +10%/يوم),
Advertising,الإعلانات,
Advertising Platforms,منصات الإعلانات,
Agent,وكيل,
Agent Briefing,إحاطة الوكيل,
Agent Briefing Notes,ملاحظات إحاطة الوكيل,
Agent Call Context,سياق مكالمة الوكيل,
Agent Label,تسمية الوكيل,
Agent Name,اسم الوكيل,
Agent Performance,أداء الوكيل,
Agent Performance (MTD),أداء الوكيل (منذ بداية الشهر),
Agent Performance Rankings,تصنيفات أداء الوكلاء,
Agent Shifts,مناوبات الوكلاء,
Agent performance and org structure,أداء الوكلاء والهيكل التنظيمي,
"Agent scorecards, performance rankings, gamification challenges, and incentive tracking",بطاقات أداء الوكلاء، تصنيفات الأداء، تحديات التحفيز، وتتبع الحوافز,
Agent's streak day count when this was earned,عدد أيام سلسلة الوكيل المتتالية عند الحصول على هذا,
Agents,الوكلاء,
"Aggregate customer health combining deal activity, support tickets, and engagement metrics",صحة العميل الإجمالية تجمع نشاط الصفقات وتذاكر الدعم ومقاييس التفاعل,
Ai Analysis,تحليل الذكاء الاصطناعي,
Ai Personalize,تخصيص الذكاء الاصطناعي,
Ai Suggested Response,استجابة مقترحة بالذكاء الاصطناعي,
Alert On Negative Review,تنبيه عند تقييم سلبي,
Alert On New Ad,تنبيه عند إعلان جديد,
Alert Sent,تم إرسال التنبيه,
Alert Sent At,أُرسل التنبيه في,
Alert Threshold Percent,نسبة حد التنبيه,
All,الكل,
All Time,كل الأوقات,
"All Time = cumulative, else resets each period",كل الأوقات = تراكمي، وإلا يُعاد التعيين كل فترة,
"All teams report to you — Sales pipeline, Marketing ROI, Customer Service satisfaction, all unified in one platform.",جميع الفرق تقدم تقاريرها لك — مسار المبيعات، عائد التسويق، رضا خدمة العملاء، الكل موحد في منصة واحدة.,
Already at final stage,بالفعل في المرحلة الأخيرة,
America/New_York,America/New_York,
Amount,المبلغ,
Analytics,التحليلات,
Answered,تم الرد,
Anthropic API Key,مفتاح API Anthropic,
Anti-Gaming Controls,ضوابط منع التلاعب,
Anti-Gaming Protection,حماية ضد التلاعب,
Any,أي,
Api Calls Made,طلبات API المنفذة,
Apollo,أبولو,
Apollo API Key,مفتاح API أبولو,
Apollo Result,نتيجة أبولو,
Applies To,ينطبق على,
Apply when calling from this campaign,تطبيق عند الاتصال من هذه الحملة,
Apply when contact belongs to this segment,تطبيق عند انتماء جهة الاتصال لهذه الشريحة,
Apply when contact has this classification,تطبيق عند تصنيف جهة الاتصال بهذا التصنيف,
Appointment,موعد,
Appreciation Percent,نسبة الارتفاع,
Approved,تمت الموافقة,
Arabic,العربية,
Archived,مؤرشف,
Article,مقال,
"As customer service agent, AuraCRM empowers you to resolve issues quickly and keep customers happy:",كموظف خدمة عملاء، يمكّنك AuraCRM من حل المشكلات بسرعة والحفاظ على سعادة العملاء:,
"As general manager, AuraCRM gives you the big picture across sales, marketing, and service:",كمدير عام، يمنحك AuraCRM الصورة الكاملة عبر المبيعات والتسويق والخدمة:,
