source_text,translated_text,context
Channel,القناة,
Chatbot Flow,تدفق الروبوت,
Chatbot Node,عقدة الروبوت,
Chatbots,الروبوتات,
Check Condition,فحص الشرط,
Classification,تصنيف,
Classification Name,اسم التصنيف,
Classifications,التصنيفات,
classified,مصنّف,
Classifying...,جارٍ التصنيف...,
Clicks,النقرات,
Closing,إغلاق,
Cold (0-29),بارد جداً (0-29),
Color,اللون,
"Comma-separated list: Facebook,Instagram,Twitter,LinkedIn","قائمة مفصولة بفواصل: Facebook,Instagram,Twitter,LinkedIn",
"Comma-separated: residential, commercial, luxury, arabic, english",مفصولة بفواصل: سكني، تجاري، فاخر، عربي، إنجليزي,
Command Center,مركز القيادة,
Comment,تعليق,
Commenter Followers,متابعو المعلّق,
Commenter Info,معلومات المعلّق,
Commenter Name,اسم المعلّق,
Commenter Profile Url,رابط ملف المعلّق,
Commenter Username,اسم مستخدم المعلّق,
Communication,اتصال,
Communication History,سجل الاتصالات,
Communication Template,قالب الاتصال,
Communication Templates,قوالب الاتصال,
Communications,الاتصالات,
Company,الشركة,
Company Label,تسمية الشركة,
Company Size,حجم الشركة,
Company-Wide,على مستوى الشركة,
Comparison Value,قيمة المقارنة,
Competitive Intel,الاستخبارات التنافسية,
Competitor,منافس,
Competitor Complaint,شكوى منافس,
Competitor Intel Entry,إدخال استخبارات تنافسية,
Competitor Name,اسم المنافس,
Competitor Profile,ملف المنافس,
Competitor Tracking,تتبع المنافسين,
Competitors,المنافسون,
Complete,إكمال,
complete,مكتمل,
Completed,مكتمل,
Completed At,اكتمل في,
Completed!,مكتمل!,
Completion Rate,معدل الإكمال,
Composite performance score 0-100,نقاط أداء مركبة 0-100,
Condition,الشرط,
Condition (Jinja),الشرط (Jinja),
Condition Field,حقل الشرط,
Condition Map,خريطة الشروط,
Condition Value,قيمة الشرط,
Conditions for automatically applying this classification,شروط تطبيق هذا التصنيف تلقائياً,
Confidence Score,نقاط الثقة,
Configuration,التكوين,
Configuration Data,بيانات التكوين,
Congratulations Message,رسالة التهنئة,
Consistency & Streaks,الاستمرارية والأيام المتتالية,
Contact,جهة اتصال,
Contact Classification,تصنيف جهات الاتصال,
Contact DocType,نوع مستند جهة الاتصال,
Contact Email,بريد جهة الاتصال,
Contact Information,معلومات الاتصال,
Contact is already enrolled in this sequence,جهة الاتصال مسجلة بالفعل في هذا التسلسل,
Contact Name,اسم جهة الاتصال,
Contact Phone,هاتف جهة الاتصال,
Contact Source,مصدر جهة الاتصال,
Contacted,تم التواصل,
Contacts,جهات الاتصال,
contacts,جهات اتصال,
contains,contains,
Content,المحتوى,
Content Asset Row,صف أصل المحتوى,
Content Body,محتوى النص,
Content Calendar,تقويم المحتوى,
Content Calendar Entry,إدخال تقويم المحتوى,
Content Created,تم إنشاء المحتوى,
Content Piece,قطعة محتوى,
Content Template,قالب المحتوى,
Content Topic Suggestions,اقتراحات مواضيع المحتوى,
Content Type,نوع المحتوى,
Context Panel Configuration,تكوين لوحة السياق,
Context Rules,قواعد السياق,
Context Rules determine what agents see during calls. Higher priority wins.,قواعد السياق تحدد ما يراه الوكلاء أثناء المكالمات. الأولوية الأعلى تفوز.,
Contract Draft Url,رابط مسودة العقد,
Conv,التحويل,
Conv. %,نسبة التحويل,
Conv. Rate,معدل التحويل,
Conversations Count,عدد المحادثات,
Conversion %,نسبة التحويل,
Conversion Rate,معدل التحويل,
Conversions,التحويلات,
Conversions (MTD),التحويلات (منذ بداية الشهر),
Converted,محوّل,
Cool (30-59),بارد (30-59),
Cooldown (Minutes),فترة الانتظار (دقائق),
Cooldown cannot be negative,فترة الانتظار لا يمكن أن تكون سالبة,
Cost (USD),التكلفة (دولار),
Cost/Lead,التكلفة/العميل,
Could not load,تعذر التحميل,
Could not load timeline,تعذر تحميل الجدول الزمني,
Count,العدد,
Counter-Ad Created,تم إنشاء إعلان مضاد,
Counter-Content Scheduled,تم جدولة محتوى مضاد,
Create Deal Room,إنشاء غرفة صفقة,
Create Lead,إنشاء عميل محتمل,
Create Task,إنشاء مهمة,
Created,تم الإنشاء,
Created At,أُنشئ في,
Created Leads Count,عدد العملاء المنشأين,
Created {0} entries from audience segment,تم إنشاء {0} إدخال من شريحة الجمهور,
Criteria,المعايير,
Criteria Type,نوع المعايير,
CRM Admin,مسؤول CRM,
CRM Admin access required,مطلوب صلاحية مسؤول CRM,
CRM Automation Rule,قاعدة أتمتة CRM,
CRM Campaign ROI Link,رابط عائد استثمار حملة CRM,
CRM Core,نواة CRM,
Crypto Whale,حوت العملات الرقمية,
Crypto Whales,حيتان العملات الرقمية,
Cumulative points needed to reach this level,النقاط التراكمية المطلوبة للوصول لهذا المستوى,
Current Active Leads,العملاء النشطون الحاليون,
Current Daily Budget,الميزانية اليومية الحالية,
Current Market Price,سعر السوق الحالي,
Current Progress,التقدم الحالي,
Current Status,الحالة الحالية,
Current Step,الخطوة الحالية,
Currently applied industry preset,قالب الصناعة المطبق حالياً,
Custom,مخصص,
Custom Weights,أوزان مخصصة,
Customer,عميل,
Customer Journey,رحلة العميل,
Customers,العملاء,
Customize labels per industry,تخصيص التسميات حسب الصناعة,
daily,daily,
Daily,يومي,
Daily Calls Target,هدف المكالمات اليومية,
Daily Cap,الحد اليومي,
Daily Cap cannot be negative,الحد اليومي لا يمكن أن يكون سالباً,
Daily Count,العدد اليومي,
Daily Emails Target,هدف الرسائل اليومية,
Daily Limit,الحد اليومي,
Daily Rebalancing,إعادة التوازن اليومية,
Daily Workload Rebalancing,إعادة توازن عبء العمل اليومي,
Dashboard,لوحة التحكم,
Data Driven,مبني على البيانات,
Data Source,مصدر البيانات,
Data Sources,مصادر البيانات,
Date,التاريخ,
Day of Week,يوم الأسبوع,
day streak,يوم متتالي,
day streak!,يوم متتالي!,
Days,أيام,
Deal,صفقة,
Deal Close Date,تاريخ إغلاق الصفقة,
Deal Label,تسمية الصفقة,
Deal Room,غرفة الصفقة,
Deal Room Asset,أصل غرفة الصفقة,
Deal Room Opened,تم فتح غرفة الصفقة,
Deal Room Trigger Status,حالة تشغيل غرفة الصفقة,
Deal Room View,عرض غرفة الصفقة,
Deal Rooms,غرف الصفقات,
Deal Rooms & Resale,غرف الصفقات وإعادة البيع,
Deals above this value earn bonus points,الصفقات فوق هذه القيمة تكسب نقاط مكافأة,
Default Call Script,سكربت المكالمة الافتراضي,
Default Distribution Method,طريقة التوزيع الافتراضية,
Default KPIs,مؤشرات الأداء الافتراضية,
Default OSINT Segments,شرائح الاستخبارات الافتراضية,
Default points awarded per occurrence,النقاط الافتراضية الممنوحة لكل حدث,
Default Response Time (Minutes),وقت الاستجابة الافتراضي (دقائق),
Default Score Rules,قواعد النقاط الافتراضية,
Default SLA Policies,سياسات اتفاقية الخدمة الافتراضية,
Delay (Days),التأخير (أيام),
Delay (Hours),التأخير (ساعات),
Delay Unit,وحدة التأخير,
Delay Value,قيمة التأخير,
Delete+Reply,حذف+رد,
Deliverables,المخرجات,
Delivered Count,عدد التسليمات,
Description,الوصف,
Description of what this level unlocks,وصف ما يفتحه هذا المستوى,
Details,التفاصيل,
Detected At,تم الكشف في,
Dialer,المُتصل,
Dialer Campaigns,حملات الاتصال,
Dialer Entries,إدخالات الاتصال,
Dialing,جارٍ الاتصال,
Diamond,ماسي,
Direction,الاتجاه,
Director,مدير,
Disc Guidance,إرشادات DISC,
Disc Profile,ملف DISC,
Discovered,تم الاكتشاف,
Discovery Source,مصدر الاكتشاف,
Display,العرض,
Display Name,اسم العرض,
Display Order,ترتيب العرض,
Display ↑↓ indicators for position changes,عرض مؤشرات ↑↓ لتغييرات الترتيب,
Disposition,التصرف,
Disqualification Reason,سبب عدم التأهيل,
Disqualified,غير مؤهل,
Distribution Agent,وكيل التوزيع,
Distribution Agents,وكلاء التوزيع,
Distribution Configuration,تكوين التوزيع,
Distribution Method,طريقة التوزيع,
Distribution Rules,قواعد التوزيع,
Distribution Statistics,إحصائيات التوزيع,
DM,DM,
DNC,لا تتصل,
Do Not Call,لا تتصل,
DocType,نوع المستند,
Draft,مسودة,
Dubizzle,دوبيزل,
Duplicate Blocked,تم حظر التكرار,
Duplicate detected! This record matches: {0}. Saving is blocked by rule: {1},تم اكتشاف تكرار! هذا السجل يطابق: {0}. تم حظر الحفظ بواسطة القاعدة: {1},
Duplicate Detection Enabled,كشف التكرار مفعّل,
Duplicate detection strategies,استراتيجيات كشف التكرار,
Duplicate Rule,قاعدة التكرار,
Duplicate Rules,قواعد التكرار,
Duplicate Warning,تحذير تكرار,
Duration,المدة,
Duration Seconds,المدة بالثواني,
Dynamic,ديناميكي,
"e.g. 1.5 = 50% bonus, 2.0 = double points",مثال: 1.5 = 50% مكافأة، 2.0 = نقاط مضاعفة,
"e.g. 100 calls, 1000 points, 30 streak days",مثال: 100 مكالمة، 1000 نقطة، 30 يوم متتالي,
"e.g. source, territory, industry",مثال: المصدر، المنطقة، الصناعة,
"Each filter must be [doctype, field, operator, value]. Got: {0}",كل فلتر يجب أن يكون [نوع المستند، الحقل، المعامل، القيمة]. تم الحصول على: {0},
Earning Criteria,معايير الكسب,
Educational,تعليمي,
Either name or values is required,الاسم أو القيم مطلوبة,
Email,البريد الإلكتروني,
Email Found,تم العثور على البريد,
Email Newsletter,نشرة بريدية,
Email Open,فتح بريد,
Email Opened,تم فتح البريد,
Email Template,قالب البريد الإلكتروني,
"Emoji (e.g. 🏆, 🔥, ⭐, 💎)",إيموجي (مثال: 🏆، 🔥، ⭐، 💎),
Emoji or icon class,إيموجي أو فئة أيقونة,
"Emoji or icon class (e.g. 📞, 🏆, ⭐)",إيموجي أو فئة أيقونة (مثال: 📞، 🏆، ⭐),
Empathetic,متعاطف,
en,en,
Enable Appointment Booking,تفعيل حجز المواعيد,
Enable Compliance Fields,تفعيل حقول الامتثال,
Enable Daily Point Caps,تفعيل حدود النقاط اليومية,
Enable Event Cooldowns,تفعيل فترات انتظار الأحداث,
Enable Physical Location,تفعيل الموقع الجغرافي,
Enable Project Milestones,تفعيل معالم المشروع,
Enable Property Inventory,تفعيل مخزون العقارات,
Enable Rental Management,تفعيل إدارة الإيجارات,
Enable Subscription Products,تفعيل منتجات الاشتراك,
Enable/disable industry-specific features,تفعيل/تعطيل الميزات الخاصة بالصناعة,
Enabled,مفعّل,
End Date,تاريخ الانتهاء,
End Date must be after Start Date,تاريخ الانتهاء يجب أن يكون بعد تاريخ البدء,
End Time,وقت الانتهاء,
End Time must be after Start Time,وقت الانتهاء يجب أن يكون بعد وقت البدء,
Eng. Rate %,نسبة التفاعل %,
Engagement,التفاعل,
Engagement Rate,معدل التفاعل,
Engagements,التفاعلات,
English,الإنجليزية,
Enrichment,الإثراء,
Enrichment Job,مهمة الإثراء,
Enrichment Jobs,مهام الإثراء,
Enrichment Result,نتيجة الإثراء,
Enrichment Status,حالة الإثراء,
Enrolled At,تاريخ التسجيل,
Enrollments,التسجيلات,
Entered At,تاريخ الدخول,
Entries,الإدخالات,
equals,يساوي,
Error,خطأ,
Error loading context:,خطأ في تحميل السياق:,
Error Log,سجل الأخطاء,
Error Message,رسالة الخطأ,
Escalate To,التصعيد إلى,
Escalated,مُصعَّد,
Escalation,التصعيد,
Europe/London,Europe/London,
Event Count,عدد الأحداث,
Event Key,مفتاح الحدث,
Event Type,نوع الحدث,
Events,الأحداث,
events,أحداث,
Exact,مطابقة تامة,
Exclude Keywords,استبعاد الكلمات المفتاحية,
Execution Log,سجل التنفيذ,
Executive Summary,الملخص التنفيذي,
Exit Conditions,شروط الخروج,
Exited,خرج,
Expat,مغترب,
Expats,مغتربين,
Expiry Date,تاريخ الانتهاء,
External Services,الخدمات الخارجية,
Extra points awarded when this badge is earned,نقاط إضافية تُمنح عند الحصول على هذه الشارة,
Facebook,فيسبوك,
Facebook Page,صفحة فيسبوك,
Facebook Page ID,معرف صفحة فيسبوك,
Facebook/Instagram Marketing API token,رمز API تسويق فيسبوك/إنستغرام,
Failed,فاشل,
Failed to load 360° view.,فشل تحميل عرض 360°.,
Failed to load gamification data,فشل تحميل بيانات الألعاب التحفيزية,
Failed to load manager data,فشل تحميل بيانات المدير,
Failed to load workspace data,فشل تحميل بيانات مساحة العمل,
Fake Follower Score,نقاط المتابعين المزيفين,
Fallback Message,رسالة الاحتياط,
Family,عائلة,
Family Office,مكتب عائلي,
Feature Toggles,مفاتيح الميزات,
Fee,الأتعاب,
Field,الحقل,
Field Name,اسم الحقل,
"Field name on the reference document (e.g. grand_total, duration)","اسم الحقل في المستند المرجعي (مثال: grand_total, duration)",
Field to Check,الحقل للتحقق,
Field Visibility,رؤية الحقل,
"Fieldname to check for duplicates (e.g., email_id, phone, company_name)","اسم الحقل لفحص التكرار (مثال: email_id, phone, company_name)",
Filter JSON,JSON الفلتر,
Filter JSON must be a list of filter arrays,JSON الفلتر يجب أن يكون قائمة من مصفوفات الفلاتر,
Filters,الفلاتر,
Final Points,النقاط النهائية,
Final Response,الاستجابة النهائية,
Finance,التمويل,
Financial Data,البيانات المالية,
First Touch,أول تواصل,
First Touch Date,تاريخ أول تواصل,
Flag if agent earns more than this many points in a single day,تنبيه إذا حصل الوكيل على أكثر من هذه النقاط في يوم واحد,
Flagged as Suspicious,تم التأشير كمشبوه,
Follow Up,متابعة,
Followers Count,عدد المتابعين,
For pulling Google Business reviews,لسحب تقييمات جوجل للأعمال,
"Frappe filter format: [[doctype, field, operator, value], ...]",صيغة فلتر Frappe: [[نوع المستند، الحقل، المعامل، القيمة]، ...],
Free-form notes appended to the script,ملاحظات حرة مرفقة بالسكربت,
Friday,الجمعة,
From Date,من تاريخ,
Full Call Script,سكربت المكالمة الكامل,
Full Name,الاسم الكامل,
Fuzzy,مطابقة تقريبية,
Fuzzy Threshold (%),حد المطابقة التقريبية (%),
Gamification,الألعاب التحفيزية,
Gamification Badge,شارة تحفيزية,
Gamification Challenge,تحدٍ تحفيزي,
Gamification Enabled,الألعاب التحفيزية مفعّلة,
Gamification Event,حدث تحفيزي,
Gamification Hub,مركز الألعاب التحفيزية,
Gamification Level,مستوى تحفيزي,
Gamification Master Controls,التحكم الرئيسي بالألعاب التحفيزية,
Gamification Settings,إعدادات الألعاب التحفيزية,
General,عام,
General Settings,الإعدادات العامة,
Generate AI Content,إنشاء محتوى بالذكاء الاصطناعي,
Generated Content,المحتوى المولّد,
Generated Image Url,رابط الصورة المولّدة,
Generated Output,المخرجات المولّدة,
Generating,جارٍ الإنشاء,
geographic,جغرافي,
Go to AuraCRM Workspace,الذهاب لمساحة عمل AuraCRM,
Gold,ذهبي,
Google,جوجل,
Google Ads Customer ID,معرف عميل إعلانات جوجل,
Google Ads Developer Token,رمز مطور إعلانات جوجل,
Google Business URL,رابط جوجل للأعمال,
Google CSE API Key,مفتاح API محرك بحث جوجل المخصص,
Google CSE ID,معرف محرك بحث جوجل المخصص,
Google CSE Queries,استعلامات محرك بحث جوجل المخصص,
Google Maps,خرائط جوجل,
Google Place ID,معرف مكان جوجل,
Google Places API Key,مفتاح API أماكن جوجل,
Google Search,بحث جوجل,
greater_than,أكبر من,
Greeting Message,رسالة الترحيب,
Guidelines for AI-generated content tone and style,إرشادات لنبرة وأسلوب المحتوى المولّد بالذكاء الاصطناعي,
HeyGen API Key,مفتاح API HeyGen,
Hidden until earned — adds surprise element,مخفي حتى الحصول عليه — يضيف عنصر مفاجأة,
High-Value Deal Threshold,حد الصفقة عالية القيمة,
Higher = more important (used for rule precedence),أعلى = أكثر أهمية (يستخدم لأولوية القواعد),
Higher number = higher priority in queue,رقم أعلى = أولوية أعلى في الطابور,
Higher priority rules override lower ones. First matching rule wins.,القواعد ذات الأولوية الأعلى تتجاوز الأقل. أول قاعدة مطابقة تفوز.,
Higher weight = more leads (for weighted distribution),وزن أعلى = عملاء أكثر (للتوزيع الموزون),
Highlight Fields,الحقول المميزة,
Holiday checking API,API فحص العطلات,
Home,الرئيسية,
Hot (80-100),ساخن (80-100),
Hour of day when a new streak day begins (0-23),ساعة بدء يوم السلسلة الجديد (0-23),
Hours,ساعات,
How leads are assigned to agents,كيف يتم تعيين العملاء المحتملين للوكلاء,
How many consecutive missed days before streak resets to 0,كم يوم فائت متتالي قبل إعادة تعيين السلسلة إلى 0,
